download,latency,upload,time
5.47 ,"41.315 ms
",2.85 ,"17:25:01
"
5.87 ,"41.816 ms
",3.00 ,"17:30:01
"
5.54 ,"44.742 ms
",3.10 ,"17:35:01
"
5.27 ,"61.693 ms
",2.28 ,"17:40:01
"
6.00 ,"45.874 ms
",2.32 ,"17:45:02
"
6.11 ,"44.222 ms
",2.28 ,"17:50:01
"
6.28 ,"45.866 ms
",2.95 ,"17:55:01
"
7.85 ,"39.463 ms
",2.10 ,"18:00:01
"
6.51 ,"43.748 ms
",3.10 ,"18:05:02
"
5.93 ,"44.344 ms
",4.68 ,"18:10:01
"
7.67 ,": 42.6 ms
",3.27 ,"18:15:01
"
8.41 ," 44.86 ms
",2.28 ,"18:20:01
"
5.84 ," 50.35 ms
",2.53 ,"18:25:01
"
5.09 ,"46.157 ms
",2.66 ,"18:30:01
"
0.80 ,"38.437 ms
",1.95 ,"18:35:01
"
2.40 ,"58.514 ms
",0.88 ,"18:40:01
"
8.27 ,"39.561 ms
",0.88 ,"18:45:01
"
6.01 ,"48.427 ms
",3.27 ,"18:50:01
"
5.20 ,"43.745 ms
",2.21 ,"18:55:01
"
5.93 ,"50.567 ms
",1.74 ,"19:00:01
"
8.49 ,"43.585 ms
",3.63 ,"19:05:01
"
4.84 ," 42.87 ms
",3.36 ,"19:10:01
"
3.34 ,"58.072 ms
",2.57 ,"19:15:01
"
4.43 ,"52.787 ms
",2.91 ,"19:20:01
"
3.75 ,"44.168 ms
",3.60 ,"19:25:01
"
5.30 ,"44.198 ms
",3.60 ,"19:30:01
"
4.71 ,"44.667 ms
",3.37 ,"19:35:01
"
4.68 ,"43.307 ms
",3.95 ,"19:40:01
"
4.94 ,"45.478 ms
",4.27 ,"19:45:01
"
4.42 ,"59.562 ms
",3.01 ,"19:50:01
"
4.65 ,"48.466 ms
",3.60 ,"19:55:01
"
6.37 ," 44.83 ms
",3.94 ,"20:00:01
"
5.67 ,"41.949 ms
",2.95 ,"20:05:01
"
6.33 ,"42.822 ms
",2.81 ,"20:10:02
"
3.89 ," 50.63 ms
",4.57 ,"20:15:01
"
6.00 ,"40.432 ms
",4.03 ,"20:20:01
"
5.46 ,"46.733 ms
",3.67 ,"20:25:02
"
8.04 ,"47.304 ms
",2.84 ,"20:30:02
"
6.10 ,"49.917 ms
",2.85 ,"20:35:02
"
4.10 ,"47.052 ms
",2.72 ,"20:40:01
"
4.13 ,"49.326 ms
",2.15 ,"20:45:02
"
5.44 ,"43.093 ms
",2.76 ,"20:50:01
"
4.75 ,"47.468 ms
",2.85 ,"20:55:02
"
5.92 ,"46.379 ms
",2.53 ,"21:00:01
"
5.21 ,"45.211 ms
",2.84 ,"21:05:01
"
3.50 ,"46.237 ms
",2.83 ,"21:10:01
"
5.16 ," 50.25 ms
",2.99 ,"21:15:02
"
4.29 ,"46.422 ms
",3.25 ,"21:20:02
"
5.16 ,"45.187 ms
",2.39 ,"21:25:01
"
4.50 ,"49.875 ms
",2.60 ,"21:30:01
"
4.39 ,"48.537 ms
",2.01 ,"21:35:02
"
5.55 ,"47.031 ms
",3.93 ,"21:40:01
"
4.96 ,"47.141 ms
",3.12 ,"21:45:01
"
4.90 ,"46.459 ms
",3.22 ,"21:50:01
"
4.37 ,"51.592 ms
",2.92 ,"21:55:01
"
5.36 ,"44.105 ms
",2.20 ,"22:00:02
"
3.60 ," 48.62 ms
",3.87 ,"22:05:02
"
3.09 ,"47.525 ms
",3.65 ,"22:10:02
"
4.17 ,"49.565 ms
",3.27 ,"22:15:01
"
4.43 ,"56.933 ms
",2.81 ,"22:20:02
"
3.64 ,"71.876 ms
",3.13 ,"22:25:02
"
4.03 ,"59.141 ms
",2.83 ,"22:30:01
"
4.40 ,"48.698 ms
",2.68 ,"22:35:01
"
3.88 ,"50.074 ms
",3.60 ,"22:40:02
"
3.55 ,"50.913 ms
",1.30 ,"22:45:01
"
3.98 ,"58.157 ms
",3.29 ,"22:50:01
"
3.98 ,"58.499 ms
",2.76 ,"22:55:01
"
3.31 ,"49.619 ms
",2.94 ,"23:00:01
"
4.68 ,"51.432 ms
",2.81 ,"23:05:02
"
3.08 ,"61.008 ms
",2.22 ,"23:10:01
"
4.87 ,"49.872 ms
",3.66 ,"23:15:01
"
4.02 ,"54.782 ms
",2.36 ,"23:20:01
"
3.99 ,"49.866 ms
",3.85 ,"23:25:01
"
3.84 ,"54.306 ms
",2.76 ,"23:30:01
"
3.43 ,"54.159 ms
",2.21 ,"23:35:01
"
3.72 ,"55.419 ms
",3.02 ,"23:40:01
"
4.00 ,"63.296 ms
",2.60 ,"23:45:01
"
4.57 ,"47.133 ms
",2.22 ,"23:50:01
"
4.29 ,"50.449 ms
",1.91 ,"23:55:01
"
5.16 ,"55.446 ms
",2.77 ,"00:00:01
"
3.95 ," 49.28 ms
",2.97 ,"00:05:01
"
4.15 ,"50.527 ms
",2.70 ,"00:10:02
"
4.05 ,"52.424 ms
",2.65 ,"00:15:01
"
4.42 ,"56.351 ms
",3.51 ,"00:20:01
"
4.61 ,"45.767 ms
",2.93 ,"00:25:01
"
4.46 ,"49.374 ms
",3.49 ,"00:30:01
"
4.61 ,"47.352 ms
",3.26 ,"00:35:01
"
4.92 ,"50.977 ms
",3.48 ,"00:40:01
"
5.54 ,"46.225 ms
",3.72 ,"00:45:01
"
5.93 ,"46.671 ms
",2.53 ,"00:50:01
"
6.62 ,"49.906 ms
",2.94 ,"00:55:01
"
4.73 ,"75.095 ms
",3.56 ,"01:00:01
"
6.38 ,"47.366 ms
",2.92 ,"01:05:01
"
6.04 ,"44.228 ms
",3.74 ,"01:10:01
"
6.67 ,"41.424 ms
",2.17 ,"01:15:01
"
6.23 ,"42.175 ms
",3.01 ,"01:20:01
"
6.42 ,"41.041 ms
",4.20 ,"01:25:01
"
5.79 ,"41.686 ms
",3.33 ,"01:30:01
"
6.42 ,"40.998 ms
",1.51 ,"01:35:01
"
6.02 ,"41.538 ms
",3.27 ,"01:40:01
"
5.07 ," 40.99 ms
",4.00 ,"01:45:02
"
7.34 ," 48.88 ms
",3.42 ,"01:50:01
"
6.13 ,"41.072 ms
",3.80 ,"01:55:01
"
8.04 ,"38.577 ms
",3.10 ,"02:00:02
"
5.20 ,"41.472 ms
",3.57 ,"02:05:01
"
5.14 ,"46.559 ms
",5.18 ,"02:10:01
"
5.92 ,"41.094 ms
",3.94 ,"02:15:01
"
6.24 ," 47.73 ms
",3.44 ,"02:20:01
"
5.92 ,"43.375 ms
",2.26 ,"02:25:02
"
6.04 ,"43.348 ms
",1.97 ,"02:30:02
"
7.02 ,"41.385 ms
",3.28 ,"02:35:01
"
4.85 ," 41.34 ms
",3.15 ,"02:40:01
"
7.11 ,"42.003 ms
",1.69 ,"02:45:01
"
4.51 ,"41.593 ms
",4.54 ,"02:50:01
"
6.59 ,"40.841 ms
",3.94 ,"02:55:01
"
9.08 ,"41.281 ms
",3.08 ,"03:00:01
"
5.46 ,"45.505 ms
",2.61 ,"03:05:01
"
6.42 ,"42.303 ms
",3.01 ,"03:10:02
"
7.97 ,"40.736 ms
",3.97 ,"03:15:01
"
6.25 ,"41.052 ms
",3.07 ,"03:20:01
"
7.33 ,"50.748 ms
",3.84 ,"03:25:02
"
5.24 ,"40.452 ms
",3.30 ,"03:30:01
"
6.87 ,"40.949 ms
",3.00 ,"03:35:01
"
7.65 ,"41.147 ms
",2.51 ,"03:40:01
"
6.21 ,"41.477 ms
",3.17 ,"03:45:01
"
7.24 ,"44.623 ms
",3.37 ,"03:50:01
"
6.41 ,"40.538 ms
",3.52 ,"03:55:01
"
8.95 ,"40.861 ms
",3.16 ,"04:00:01
"
8.14 ,"44.066 ms
",3.81 ,"04:05:01
"
5.59 ,"40.353 ms
",2.95 ,"04:10:01
"
